loc.loc.adjacentBuilding
loc.loc.administrativeDivision
loc.loc.administrativeDivision.area
loc.loc.administrativeDivision.area.lieutenancyArea
loc.loc.administrativeDivision.area.principalArea
loc.loc.administrativeDivision.canton
loc.loc.administrativeDivision.county
loc.loc.administrativeDivision.county.ceremonialCounty
loc.loc.administrativeDivision.department
loc.loc.administrativeDivision.department.arrondissement
loc.loc.administrativeDivision.diocese
loc.loc.administrativeDivision.district
loc.loc.administrativeDivision.district.administrativeDistrict
loc.loc.administrativeDivision.district.electoralDistrict
loc.loc.administrativeDivision.frazioni
loc.loc.administrativeDivision.metropolitanBorough
loc.loc.appliesToJurisdiction
loc.loc.archipelago
loc.loc.capitalOf
loc.loc.carries
loc.loc.childAstronomicalBody
loc.loc.city
loc.loc.city.capitalCity
loc.loc.city.capitalCity.countryCapital
loc.loc.city.largestCity
loc.loc.city.nearestCity
loc.loc.city.twinTown
loc.loc.coextensiveWith
loc.loc.connectingLine
loc.loc.connectingService
loc.loc.connectsWith
loc.loc.constellation
loc.loc.contains
loc.loc.contains.containsAdministrativeUnit
loc.loc.contains.containsSettlement
loc.loc.continent
loc.loc.country
loc.loc.country.basinCountry
loc.loc.country.countryOfOrigin
loc.loc.country.twinCountry
loc.loc.crosses
loc.loc.cultureOf
loc.loc.deepestPoint
loc.loc.diplomaticRelation
loc.loc.drainageBasin
loc.loc.exclaveOf
loc.loc.hasJunctionWith
loc.loc.hasPart
loc.loc.highestPlace
loc.loc.island
loc.loc.island.majorIsland
loc.loc.isPartOf
loc.loc.lake
loc.loc.lakeInflow
loc.loc.lakeOutflow
loc.loc.locatedAt
loc.loc.locatedInAdministrativeUnit
loc.loc.locatedInArea
loc.loc.locatedInArea.locatedInProtectedArea
loc.loc.locatedNearbodyOfWater
loc.loc.locatedOnAstronomicalBody
loc.loc.locatedOnStreet
loc.loc.locatedOnTerrainFeature
loc.loc.lowestPlace
loc.loc.minorPlanetGroup
loc.loc.mountain
loc.loc.mountain.lowestMountain
loc.loc.mountain.mountainRange
loc.loc.mountain.parentMountainPeak
loc.loc.mouthOfWatercourse
loc.loc.mouthOfWatercourse.mouthCountry
loc.loc.mouthOfWatercourse.mouthPlace
loc.loc.mouthOfWatercourse.mouthRegion
loc.loc.mouthOfWatercourse.riverMouth
loc.loc.municipality
loc.loc.municipality.municipalAssociations
loc.loc.municipality.neighboringMunicipality
loc.loc.namedAfter
loc.loc.ocean
loc.loc.parentAstronomicalBody
loc.loc.partiallyCoincidentWith
loc.loc.placeServedByTransportHub
loc.loc.placeServedByTransportHub.cityServed
loc.loc.primaryDestinations
loc.loc.province
loc.loc.region
loc.loc.region.subregion
loc.loc.replacedBy
loc.loc.replaces
loc.loc.river
loc.loc.routeLocation
loc.loc.routeLocation.routeEnd
loc.loc.routeLocation.routeJunction
loc.loc.routeLocation.routeStart
loc.loc.separatedFrom
loc.loc.sharesBorderWith
loc.loc.siteOfAstronomicalDiscovery
loc.loc.sourceOfWatercourse
loc.loc.sourceOfWatercourse.sourceCountry
loc.loc.sourceOfWatercourse.sourceMountain
loc.loc.sourceOfWatercourse.sourcePlace
loc.loc.sourceOfWatercourse.sourceRegion
loc.loc.startPoint
loc.loc.state
loc.loc.state.federalState
loc.loc.station
loc.loc.station.adjacentStation
loc.loc.station.interchangeStation
loc.loc.terminus
loc.loc.territory
loc.loc.tributary
loc.loc.tributary.leftTributary
loc.loc.tributary.rightTributary
loc.org.administrator
loc.org.airlineHub
loc.org.appliesToJurisdiction
loc.org.architect
loc.org.builder
loc.org.club
loc.org.club.homeClub
loc.org.contractor
loc.org.designer
loc.org.developer
loc.org.discoverer
loc.org.engineer
loc.org.engineer.civilEngineer
loc.org.engineer.servicesEngineer
loc.org.engineer.structuralEngineer
loc.org.executiveBody
loc.org.founder
loc.org.governingBody
loc.org.landlord
loc.org.leaderParty
loc.org.legislativeBody
loc.org.legislativeBody.house1
loc.org.legislativeBody.house2
loc.org.legislativeBody.lowerHouse
loc.org.legislativeBody.upperHouse
loc.org.maintainedBy
loc.org.managedBy
loc.org.namedAfter
loc.org.occupant
loc.org.operator
loc.org.operator.busOperator
loc.org.operator.trainOperator
loc.org.owner
loc.org.owner.currentOwner
loc.org.owner.previousOwner
loc.org.siteOfAstronomicalDiscovery
loc.org.surveyor
loc.org.surveyor.quantitySurveyor
loc.org.tenant
loc.per.archaeologist
loc.per.architect
loc.per.bishop
loc.per.bishop.archBishop
loc.per.builder
loc.per.chairperson
loc.per.chef
loc.per.chef.headChef
loc.per.creator
loc.per.curator
loc.per.dedicatedTo
loc.per.designer
loc.per.discoverer
loc.per.engineer
