relation,id
rel.loc.loc-org.designer,R1010029
rel.loc.loc-org.developer,R10100210
rel.loc.loc-org.discoverer,R10100211
rel.loc.loc-org.engineer,R10100212
rel.loc.loc-org.engineer.civilEngineer,R10100213
rel.loc.loc-org.engineer.servicesEngineer,R10100214
rel.loc.loc-org.engineer.structuralEngineer,R10100215
rel.loc.loc-org.executiveBody,R10100216
rel.loc.loc-org.founder,R10100217
rel.loc.loc-org.governingBody,R10100218
rel.loc.loc-org.landlord,R10100219
rel.loc.loc-org.leaderParty,R10100220
rel.loc.loc-org.legislativeBody,R10100221
rel.loc.loc-org.legislativeBody.house1,R10100222
rel.loc.loc-org.legislativeBody.house2,R10100223
rel.loc.loc-org.legislativeBody.lowerHouse,R10100224
rel.loc.loc-org.legislativeBody.upperHouse,R10100225
rel.loc.loc-org.maintainedBy,R10100226
rel.loc.loc-org.managedBy,R10100227
rel.loc.loc-org.namedAfter,R10100228
rel.loc.loc-org.occupant,R10100229
rel.loc.loc-org.operator,R10100230
rel.loc.loc-org.operator.busOperator,R10100231
rel.loc.loc-org.operator.trainOperator,R10100232
rel.loc.loc-org.owner,R10100233
rel.loc.loc-org.owner.currentOwner,R10100234
rel.loc.loc-org.owner.previousOwner,R10100235
rel.loc.loc-org.siteOfAstronomicalDiscovery,R10100236
rel.loc.loc-org.surveyor,R10100237
rel.loc.loc-org.surveyor.quantitySurveyor,R10100238
rel.loc.loc-org.tenant,R10100239
rel.loc.loc-per,R101003
rel.loc.loc-per.archaeologist,R1010031
rel.loc.loc-per.architect,R1010032
rel.loc.loc-per.bishop,R1010033
rel.loc.loc-per.bishop.archBishop,R1010034
rel.loc.loc-per.builder,R1010035
rel.loc.loc-per.chairperson,R1010036
rel.loc.loc-per.chef,R1010037
rel.loc.loc-per.chef.headChef,R1010038
rel.loc.loc-per.creator,R1010039
rel.loc.loc-per.curator,R10100310
rel.loc.loc-per.dedicatedTo,R10100311
rel.loc.loc-per.designer,R10100312
rel.loc.loc-per.discoverer,R10100313
rel.loc.loc-per.engineer,R10100314
rel.loc.loc-per.engineer.civilEngineer,R10100315
rel.loc.loc-per.engineer.servicesEngineer,R10100316
rel.loc.loc-per.engineer.structuralEngineer,R10100317
rel.loc.loc-per.firstAscentPerson,R10100318
rel.loc.loc-per.founder,R10100319
rel.loc.loc-per.fundedBy,R10100320
rel.loc.loc-per.historian,R10100321
rel.loc.loc-per.landlord,R10100322
rel.loc.loc-per.leader,R10100323
rel.loc.loc-per.manager,R10100324
rel.loc.loc-per.manager.generalManager,R10100325
rel.loc.loc-per.namedAfter,R10100326
rel.loc.loc-per.occupant,R10100327
rel.loc.loc-per.officeholder,R10100328
rel.loc.loc-per.officeholder.commander,R10100329
rel.loc.loc-per.officeholder.commissionedBy,R10100330
rel.loc.loc-per.officeholder.deputy,R10100331
rel.loc.loc-per.officeholder.governor,R10100332
rel.loc.loc-per.officeholder.headOfGovernment,R10100333
rel.loc.loc-per.officeholder.headOfState,R10100334
rel.loc.loc-per.officeholder.mayor,R10100335
rel.loc.loc-per.officeholder.president,R10100336
rel.loc.loc-per.owner,R10100337
rel.loc.loc-per.owner.currentOwner,R10100338
rel.loc.loc-per.owner.previousOwner,R10100339
rel.loc.loc-per.pastor,R10100340
rel.loc.loc-per.pastor.seniorPastor,R10100341
rel.loc.loc-per.patron,R10100342
rel.loc.loc-per.patron.patronSaint,R10100343
rel.loc.loc-per.people,R10100344
rel.loc.loc-per.people.keyPeople,R10100345
rel.loc.loc-per.representative,R10100346
rel.loc.loc-per.restoredBy,R10100347
rel.loc.loc-per.saint,R10100348
rel.loc.loc-per.surveyor,R10100349
rel.loc.loc-per.surveyor.quantitySurveyor,R10100350
rel.loc.loc-per.tenant,R10100351
rel.loc.loc-per.warden,R10100352
rel.org,R102
rel.org.org-loc,R102001
rel.org.org-loc.airlineHub,R1020011
rel.org.org-loc.allegiance,R1020012
rel.org.org-loc.ancestralHome,R1020013
rel.org.org-loc.appliesToJurisdiction,R1020014
rel.org.org-loc.battleFoughtAt,R1020015
rel.org.org-loc.broadcastArea,R1020016
rel.org.org-loc.campusLocation,R1020017
rel.org.org-loc.cathedral,R1020018
rel.org.org-loc.city,R1020019
rel.org.org-loc.country,R10200110
rel.org.org-loc.country.countryOfOrigin,R10200111
rel.org.org-loc.administrativeDivision,R10200112
rel.org.org-loc.administrativeDivision.county,R10200113
rel.org.org-loc.estate,R10200114
rel.org.org-loc.foundingLocation,R10200115
rel.org.org-loc.garrison,R10200116
rel.org.org-loc.ground,R10200117
rel.org.org-loc.ground.homeArena,R10200118
rel.org.org-loc.ground.homeVenue,R10200119
rel.org.org-loc.ground.homeStadium,R10200120
rel.org.org-loc.headquarter,R10200121
rel.org.org-loc.headquarter.headquartersCity,R10200122
rel.org.org-loc.headquarter.headquartersCountry,R10200123
rel.org.org-loc.headquarter.headquartersLocation,R10200124
rel.org.org-loc.jurisdiction,R10200125
rel.org.org-loc.localAuthority,R10200126
rel.org.org-loc.locality,R10200127
rel.org.org-loc.locatedAt,R10200128
rel.org.org-loc.namedAfter,R10200129
rel.org.org-loc.operatingArea,R10200130
rel.org.org-loc.origin,R10200131
rel.org.org-loc.ownerOf,R10200132
rel.org.org-loc.province,R10200133
rel.org.org-loc.publishingLocation,R10200134
rel.org.org-loc.publishingLocation.publishingCity,R10200135
