relation,id
rel.per.per-per.partner.lifePartner,R10300350
rel.per.per-per.partner.professionalPartner,R10300351
rel.per.per-per.partner.sportsPartner,R10300352
rel.per.per-per.patron,R10300353
rel.per.per-per.predecessor,R10300354
rel.per.per-per.replacedBy,R10300355
rel.per.per-per.replaces,R10300356
rel.per.per-per.servedAlongside,R10300357
rel.per.per-per.sponsoredBy,R10300358
rel.per.per-per.student,R10300359
rel.per.per-per.student.doctoralStudent,R10300360
rel.per.per-per.student.notableStudent,R10300361
rel.per.per-per.studentOf,R10300362
rel.per.per-per.successor,R10300363
rel.per.per-per.teacher,R10300364
rel.per.per-per.teacher.guru,R10300365
rel.per.per-per.trainer,R10300366
rel.per.per-per.victim,R10300367
